SalesAgentName,SalesAgentEmailAddress,ClientName,ClientIdentifier,BankName,AccountNumber,SortCode,Currency
"Oliver Wright","oliverwright31@somecompany3831.com","John Brown","VIVW8562","Standard Chartered Bank","72368997","581349","AUD"
"Benjamin Jackson","benjaminjackson197@somecompany5430.com","Jacob Robinson","HKXN8488","HSBC Bank Plc","12267620","173988","AUD"
"Robert Johnson","robertjohnson8@somecompany6227.com","Logan Wood","KYSX9864","Barclays Bank Plc","92207514","390936","EUR"
"Robert Johnson","robertjohnson1@somecompany6020.com","Lucas Mitchell","QPXQ7791","Bank of Scotland plc","30109615","658004","GBP"
"Joseph Walker","josephwalker256@somecompany0692.com","Richard Jackson","VUXW3337","Metro Bank PLC","17327213","895412","GBP"
"Lucas Brown","lucasbrown29@somecompany6394.com","Sebastian Wilson","HVYI0195","Standard Chartered Bank","44603105","340224","USD"
"Jack Jackson","jackjackson318@somecompany0939.com","Liam Phillips","MSFI6156","Bank of Scotland plc","97971190","614794","EUR"
"Jack Mitchell","jackmitchell27@somecompany8468.com","William Green","NWWL9857","Standard Chartered Bank","93831162","341389","USD"
"David Jones","davidjones463@somecompany5761.com","Robert Roberts","HNWJ4415","Lloyds Bank Plc","37518633","020747","GBP"
"Richard Brown","richardbrown396@somecompany3795.com","David Clarke","NATE1145","Barclays Bank Plc","81517378","737113","GBP"
"Robert Johnson","robertjohnson8@somecompany6227.com","James Brown","ZXPB8419","Lloyds Bank Plc","60956161","545670","AUD"
"Benjamin Cox","benjamincox830@somecompany0720.com","Thomas Williams","NXWF5967","Yorkshire Bank","84712830","057153","GBP"
"Liam Mason","liammason829@somecompany4245.com","Benjamin Johnson","ZBPL9197","HSBC Bank Plc","63050345","389423","EUR"
"Robert Johnson","robertjohnson1@somecompany6020.com","Dylan White","HRAC8755","Standard Chartered Bank","73474894","905079","EUR"
"Noel Phillips","noelphillips688@somecompany2018.com","Dylan Wood","JMLA9842","Lloyds Bank Plc","84367324","679486","EUR"
"Joseph Walker","josephwalker256@somecompany0692.com","Liam Wright","NGXD4262","Barclays Bank Plc","31877648","198114","USD"
"Joseph Walker","josephwalker256@somecompany0692.com","Sebastian Brown","WEUL2614","Bank of Scotland plc","22395481","533068","EUR"
"Charles Johnson","charlesjohnson502@somecompany0377.com","Dylan Evans","ZOZY9368","Bank of Scotland plc","91044126","507458","USD"
"Robert Johnson","robertjohnson8@somecompany6227.com","Richard Clarke","TMOS3694","Lloyds Bank Plc","70336544","728964","AUD"
"Noah James","noahjames83@somecompany2687.com","Richard Mason","NWDX9300","Barclays Bank Plc","82401647","040301","AUD"
"Charles Williams","charleswilliams974@somecompany5848.com","Elijah Roberts","IDJQ8441","Barclays Bank Plc","69983316","047948","USD"
"Jack Mitchell","jackmitchell27@somecompany8468.com","Jack White","KVPK8871","Clydesdale Bank Plc","00018816","010465","GBP"
"Charles Johnson","charlesjohnson502@somecompany0377.com","Richard Wilson","GPDO4663","Clydesdale Bank Plc","30091050","529361","AUD"
"Logan Taylor","logantaylor653@somecompany2430.com","Joseph Wood","PKMC0794","Metro Bank PLC","39379496","063905","AUD"
"Thomas Jackson","thomasjackson880@somecompany8614.com","Mason Jones","GLFO4334","Metro Bank PLC","77035101","156420","EUR"
"Robert Johnson","robertjohnson1@somecompany6020.com","Dylan White","HRAC8755","Lloyds Bank Plc","20749894","437448","EUR"
"Noah Wilson","noahwilson84@somecompany1934.com","Joseph Jones","FXNL4535","Bank of Scotland plc","43224889","024878","GBP"
"Robert Johnson","robertjohnson8@somecompany6227.com","Elijah Brown","CIUH9624","Standard Chartered Bank","54977870","487957","GBP"
"Joseph Walker","josephwalker256@somecompany0692.com","Noel White","AEFI0206","Lloyds Bank Plc","30512074","258217","EUR"
"Richard Thomas","richardthomas153@somecompany8459.com","David Jackson","SJXN4131","HSBC Bank Plc","74494865","353525","EUR"
"Noah James","noahjames83@somecompany2687.com","Richard Walker","HYDL9194","Barclays Bank Plc","87543207","512052","USD"
"David Jones","davidjones463@somecompany5761.com","Lucas Jones","GGIX1873","Yorkshire Bank","64261122","761296","EUR"
"Charles Johnson","charlesjohnson502@somecompany0377.com","Thomas Jackson","RGNE0440","Standard Chartered Bank","83312808","968712","AUD"
"Lucas Brown","lucasbrown29@somecompany6394.com","Richard Wood","NYCD4396","Barclays Bank Plc","88312712","302684","USD"
"Lucas Thompson","lucasthompson18@somecompany6810.com","Logan Wright","EVOF6408","Lloyds Bank Plc","65486521","143833","USD"
"Liam Mason","liammason829@somecompany4245.com","Adrian Jones","ZNDO0566","Standard Chartered Bank","39747251","912183","USD"
"Richard Brown","richardbrown396@somecompany3795.com","James Jackson","QMHW0064","Metro Bank PLC","75554711","164149","GBP"
"Oliver Wright","oliverwright31@somecompany3831.com","John Green","GPXP4037","Metro Bank PLC","45917954","199363","GBP"
"David Mitchell","davidmitchell364@somecompany9806.com","Robert Taylor","IMGS4648","Lloyds Bank Plc","05141402","826683","GBP"
"Richard Thomas","richardthomas153@somecompany8459.com","Michael James","WKUX1576","Bank of Scotland plc","76949055","040749","USD"
"Lucas Brown","lucasbrown29@somecompany6394.com","Noah Wood","JZTL2338","HSBC Bank Plc","85375149","394154","GBP"
"Joseph Johnson","josephjohnson953@somecompany6572.com","Liam Thompson","LBXL5181","HSBC Bank Plc","46520667","605579","EUR"
"Richard Walker","richardwalker885@somecompany7591.com","John Walker","IDZZ2193","HSBC Bank Plc","58260748","291460","USD"
"Adrian Wood","adrianwood780@somecompany0199.com","Benjamin Taylor","SNUE5059","Metro Bank PLC","55397345","334401","USD"
"Noah James","noahjames83@somecompany2687.com","Jacob Clarke","TEND0194","Standard Chartered Bank","98965636","596839","USD"
"David Mitchell","davidmitchell364@somecompany9806.com","Ian Green","UCXF3344","Yorkshire Bank","63311620","956901","GBP"
"Richard Thomas","richardthomas153@somecompany8459.com","Richard James","YBWM0055","Bank of Scotland plc","16140234","149886","USD"
"Charles Davis","charlesdavis7@somecompany3124.com","Robert Thomas","CRMA5429","Lloyds Bank Plc","88749768","572432","USD"
"Jack Evans","jackevans438@somecompany1820.com","John Clarke","BNXF7501","Yorkshire Bank","90405594","783890","AUD"
"Richard Walker","richardwalker885@somecompany7591.com","Lucas Smith","NTGE8445","Metro Bank PLC","18591372","920077","USD"
"Joseph Johnson","josephjohnson953@somecompany6572.com","Noah Davis","QJJB5426","HSBC Bank Plc","02141148","181211","AUD"
"Noah James","noahjames83@somecompany2687.com","Sebastian Clarke","YYOB8874","Metro Bank PLC","52210927","161952","EUR"
"Oliver Wright","oliverwright31@somecompany3831.com","Oliver Walker","WUFR5103","Yorkshire Bank","11317884","641269","GBP"
"Logan Wood","loganwood112@somecompany0924.com","Oliver Wood","XICV9619","HSBC Bank Plc","76200366","968105","GBP"
"James James","jamesjames272@somecompany8044.com","Liam Phillips","MHKW0955","Metro Bank PLC","66560962","537691","GBP"
"Benjamin Williams","benjaminwilliams387@somecompany9080.com","Jack Wright","QCKH2233","Standard Chartered Bank","78225806","158372","EUR"
"David Jones","davidjones463@somecompany5761.com","Liam Walker","MGPL1842","Standard Chartered Bank","28564825","873523","EUR"
"Logan Wood","loganwood112@somecompany0924.com","Mason Thompson","CJCL5729","Yorkshire Bank","33305575","479555","AUD"
"Charles Robinson","charlesrobinson388@somecompany3574.com","Lucas Cox","HFVN3286","Barclays Bank Plc","74539904","581518","GBP"
"David Mitchell","davidmitchell364@somecompany9806.com","Ian Evans","ULNO3816","Metro Bank PLC","01267780","074729","GBP"
"Noel Mitchell","noelmitchell393@somecompany5028.com","Liam Thompson","GACN4198","Yorkshire Bank","37609535","947472","USD"
"Benjamin Walker","benjaminwalker460@somecompany2632.com","Joseph Green","HNOG3946","Standard Chartered Bank","93421236","876051","AUD"
"Richard Thomas","richardthomas153@somecompany8459.com","Benjamin Brown","NUHK7153","Standard Chartered Bank","15027974","981594","AUD"
"Richard Thomas","richardthomas153@somecompany8459.com","Sebastian Wright","AFUX1705","Standard Chartered Bank","09168411","210476","EUR"
"Robert Johnson","robertjohnson8@somecompany6227.com","John Walker","QNZX6192","Yorkshire Bank","16387784","358639","GBP"
"Richard Thomas","richardthomas153@somecompany8459.com","James Wilson","AOCH7949","HSBC Bank Plc","25975420","451954","GBP"
"Charles Davis","charlesdavis7@somecompany3124.com","James Taylor","GWQP9777","Barclays Bank Plc","32469809","790695","EUR"
"Noel Mitchell","noelmitchell393@somecompany5028.com","Mason Mason","WDYP1616","Bank of Scotland plc","33015589","634796","GBP"
"Adrian Wood","adrianwood780@somecompany0199.com","Jack Davis","FXEA3158","HSBC Bank Plc","89849385","252298","USD"
"David Jones","davidjones463@somecompany5761.com","Joseph Walker","OTYO9988","Bank of Scotland plc","32447971","939044","EUR"
"Lucas Brown","lucasbrown29@somecompany6394.com","Sebastian Taylor","XJWZ5216","Bank of Scotland plc","96621764","033634","EUR"
"Jack Jackson","jackjackson318@somecompany0939.com","Michael Williams","HBIK3494","Lloyds Bank Plc","20212261","344039","GBP"
"Benjamin Jackson","benjaminjackson197@somecompany5430.com","Mason Brown","CVSN5700","Lloyds Bank Plc","56221847","791469","GBP"
