SalesAgentName,SalesAgentEmailAddress,ClientName,ClientIdentifier,BankName,AccountNumber,SortCode,Currency
"Liam Mitchell","liammitchell361@somecompany0314.com","Lucas Cox","UXTB1719","Clydesdale Bank Plc","23552588","528888","GBP"
"Liam Mitchell","liammitchell361@somecompany0314.com","Lucas Cox","UXTB1719","Metro Bank PLC","26690792","372804","USD"
"Liam Mitchell","liammitchell361@somecompany0314.com","Lucas Cox","UXTB1719","Lloyds Bank Plc","66208515","528329","AUD"
"Liam Mitchell","liammitchell361@somecompany0314.com","Lucas Cox","UXTB1719","Yorkshire Bank","84552825","332429","AUD"
"Liam Mitchell","liammitchell361@somecompany0314.com","William Jackson","FFQC8740","Standard Chartered Bank","96947305","972836","EUR"
"Liam Mitchell","liammitchell361@somecompany0314.com","William Jackson","FFQC8740","Lloyds Bank Plc","26354730","772768","GBP"
"Liam Mitchell","liammitchell361@somecompany0314.com","James Mitchell","OSKV7891","Barclays Bank Plc","93893247","793138","EUR"
"Liam Mitchell","liammitchell361@somecompany0314.com","Charles Green","XDRC5910","HSBC Bank Plc","94537003","934332","USD"
"Charles Mason","charlesmason384@somecompany4187.com","Thomas Roberts","WTXV3198","HSBC Bank Plc","04283977","573618","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","Thomas Roberts","WTXV3198","Lloyds Bank Plc","63067075","260502","USD"
"Charles Mason","charlesmason384@somecompany4187.com","Benjamin Wood","BYDR7890","Barclays Bank Plc","11500756","766077","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","Benjamin Wood","BYDR7890","Metro Bank PLC","92624962","774952","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","Benjamin Wood","BYDR7890","Metro Bank PLC","36300943","777320","GBP"
"Charles Mason","charlesmason384@somecompany4187.com","Benjamin Cox","WTIL7253","Clydesdale Bank Plc","25049960","356973","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","Benjamin Cox","WTIL7253","Metro Bank PLC","22975094","393881","USD"
"Charles Mason","charlesmason384@somecompany4187.com","Michael Davis","BERF4231","HSBC Bank Plc","49998003","457266","GBP"
